Feature	Module	Term
LRRK1	cluster_164	['GO:0045453']
MTOR	cluster_164	['GO:0005741', 'GO:0043276']
SRC	cluster_164	['GO:0045453', 'GO:0060444']
TRAF6	cluster_164	['GO:0045453']
CTTN	cluster_166	['GO:0002102']
LPXN	cluster_166	['GO:0002102']
BDNF	cluster_167	['GO:0008021', 'GO:0030425', 'GO:0045664']
BMPR1B	cluster_167	['GO:0030425']
CDK16	cluster_167	['GO:0008021']
DBN1	cluster_167	['GO:0030425', 'GO:0030863']
DLG4	cluster_167	['GO:0008021', 'GO:0030863']
ECT2	cluster_167	['GO:0043547', 'GO:0070830']
ELAVL4	cluster_167	['GO:0030425']
F11R	cluster_167	['GO:0043547', 'GO:0070830']
HTR2C	cluster_167	['GO:0030425']
LTK	cluster_167	['GO:0045664']
PLEKHG6	cluster_167	['GO:0043547']
RGS3	cluster_167	['GO:0043547']
ABCB1	cluster_168	['GO:0042626', 'GO:0150104']
ABCG2	cluster_168	['GO:0042626', 'GO:0150104']
GUCA2B	cluster_168	['GO:0019934']
MMP16	cluster_168	['GO:0004222']
MMP26	cluster_168	['GO:0004222']
PDE3A	cluster_168	['GO:0019934']
CBFB	cluster_17	['GO:0045652', 'GO:1902036', 'GO:2000810']
KMT2A	cluster_17	['GO:0045652', 'GO:1902036']
TJP1	cluster_17	['GO:2000810']
DNM1	cluster_171	['GO:0061025']
HUWE1	cluster_171	['GO:0061025']
UBXN2B	cluster_171	['GO:0061025']
BMPR1A	cluster_174	['GO:0050679']
FGF1	cluster_174	['GO:0050679']
ADIPOQ	cluster_175	['GO:0009749', 'GO:0043407']
CDC16	cluster_175	['GO:0072686']
EIF2B4	cluster_175	['GO:0009749']
HYAL2	cluster_175	['GO:0043407']
IL1B	cluster_175	['GO:0043407', 'GO:0060252']
IL6	cluster_175	['GO:0060252']
IRS2	cluster_175	['GO:0009749', 'GO:0030879']
KIF2B	cluster_175	['GO:0072686']
