HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:50194	MIR892C		102466721.0
HGNC:33670	MIR920		100126320.0
HGNC:33671	MIR921		100126349.0
HGNC:33672	MIR922		100126321.0
HGNC:33673	MIR923		
HGNC:33674	MIR924		100126323.0
HGNC:44332	MIR924HG	AK090603, BG220862, DB038664	647946.0
HGNC:33676	MIR933		100126350.0
HGNC:33677	MIR934		100126324.0
HGNC:33678	MIR935		100126325.0
HGNC:33679	MIR936		100126326.0
HGNC:33680	MIR937		100126338.0
HGNC:33681	MIR938		100126327.0
HGNC:33682	MIR939		100126351.0
HGNC:33683	MIR940		100126328.0
HGNC:33684	MIR941-1		100126329.0
HGNC:33685	MIR941-2		100126339.0
HGNC:33686	MIR941-3		100126352.0
HGNC:33687	MIR941-4		100126330.0
HGNC:50845	MIR941-5		103504732.0
HGNC:33688	MIR942		100126331.0
HGNC:33689	MIR943		100126332.0
HGNC:33690	MIR944		100126340.0
HGNC:35259	MIR1178		100302274.0
HGNC:35260	MIR1179		100302235.0
HGNC:35261	MIR1180		100302256.0
HGNC:35262	MIR1181		100302213.0
HGNC:35263	MIR1182		100302132.0
HGNC:35264	MIR1183		100302122.0
HGNC:35265	MIR1184-1		100302111.0
HGNC:38211	MIR1184-2		100422985.0
HGNC:38389	MIR1184-3		100422977.0
HGNC:35257	MIR1185-1		100302157.0
HGNC:35254	MIR1185-2		100302209.0
HGNC:38247	MIR1193		100422837.0
HGNC:35376	MIR1197		100302250.0
HGNC:50081	MIR1199		102466515.0
HGNC:35266	MIR1200		100302113.0
HGNC:35267	MIR1201		
HGNC:35268	MIR1202		100302259.0
HGNC:35269	MIR1203		100302211.0
HGNC:37059	MIR1204		100302185.0
HGNC:35271	MIR1205		100302161.0
HGNC:35272	MIR1206		100302170.0
HGNC:35273	MIR1207		100302175.0
HGNC:35274	MIR1208		100302281.0
HGNC:33923	MIR1224		100187716.0
HGNC:33931	MIR1225		100188847.0
HGNC:33922	MIR1226		100302232.0
HGNC:33932	MIR1227		100302283.0
HGNC:33928	MIR1228		100302201.0
HGNC:33924	MIR1229		100302156.0
HGNC:33921	MIR1231		100302158.0
HGNC:33929	MIR1233-1		100302160.0
HGNC:38277	MIR1233-2		100422845.0
HGNC:33926	MIR1234		100302196.0
HGNC:33925	MIR1236		100302242.0
HGNC:33927	MIR1237		100302280.0
HGNC:33933	MIR1238		100302226.0
HGNC:35304	MIR1243		100302188.0
HGNC:35310	MIR1244-1		100302285.0
HGNC:38321	MIR1244-2		100422885.0
HGNC:38390	MIR1244-3		100422872.0
HGNC:50831	MIR1244-4		103504734.0
HGNC:35311	MIR1245A		100302219.0
HGNC:41794	MIR1245B		100616324.0
HGNC:35312	MIR1246		100302142.0
HGNC:35313	MIR1247		100302145.0
HGNC:35314	MIR1248		100302143.0
HGNC:35315	MIR1249		100302149.0
HGNC:35316	MIR1250		100302229.0
HGNC:35317	MIR1251		100302289.0
HGNC:35365	MIR1252		100302136.0
HGNC:35318	MIR1253		100302208.0
HGNC:35319	MIR1254-1		
HGNC:41770	MIR1254-2		
HGNC:35320	MIR1255A		100302193.0
HGNC:35366	MIR1255B1		100313806.0
HGNC:35367	MIR1255B2		100313835.0
HGNC:35321	MIR1256		100302155.0
HGNC:35322	MIR1257		100302168.0
HGNC:35323	MIR1258		100302172.0
HGNC:35324	MIR1259		
